text,emotion
ngày xưa tao cũng viết nhưng bị chị gái đọc trộm từ đó dẹp mẹ nhật ký luôn,NEUTRAL
có chuyện gì thê bố . bố đừng làm con sợ :((,NEGATIVE
cảm ơn những người thả 😡 nên mình biết là đéo hay nên mình đéo xem . may vãi,POSITIVE
không biết phải mình lúa không . chứ mỗi lần đi du lịch trước khi trả phòng là mình phải dọn sạch sẽ . cứ nghĩ nhận phòng sao thì trả phòng vậy . bị anh chồng la hoài là vậy,NEGATIVE
kêu gọi thì lói thế thôi chứ dân nó vẫn dùng apple như thường,NEUTRAL
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,POSITIVE
bất ngờ chưa =))),POSITIVE
"per ăn tết xong , cần cây cầu này để giảm cân 😆😆",POSITIVE
"nhiều nước quá , lấy bát về múc nước ra thêm tí đường vào là có 1 bát nước gạo ngon lành",POSITIVE
nhỏ không học lớn lên làm nhà báo,NEUTRAL
"mấy thằng ngáo để cho chết mẹ nó đi cho xã hội yên bình , quan tâm làm gì",NEGATIVE
nhớ cái váy với bộ tóc chấm bi đen trắng của anh huy ghê,NEUTRAL
liệu nó có bay nổi hay không ?.,NEUTRAL
"nói chung thánh này không ai ghét được , trừ hlv kkk , dễ thương gắp trăm thằng pogba ,,, mong cho thằng đó nhanh biến khỏi mu",POSITIVE
nhìn ghét nhỉ :)),NEGATIVE
ủa rồi ra nắm xe tải kéo ra như kéo xe đồ chơi dị ba,NEUTRAL
quá đáng !,NEGATIVE
tiên sư bố nhà mày . tao chịu hết nổi rồi nhé 🤤,NEGATIVE
loài người thật đáng sợ,NEGATIVE
đọc có chỗ vô lí vãi,NEUTRAL
đây là câu khuyến mại điểm :),POSITIVE
thôi thì đi xem avenger lần 3 để tránh nóng nốt chiều nay không mai mưa rồi hehee,POSITIVE
ông nào viết vui tính thế =)) cưng thật,POSITIVE
thiết kế tinh tế quá,POSITIVE
một bộ phim quá suất sắc,POSITIVE
ngôn ngữ gì ngộ nghĩnh vậy,POSITIVE
1 % kìa rồi ra cổng gọi thế nào :)),NEGATIVE
con trai gục đổ . con gái dụng trứng . lậy cô .... à nhầm lậy anh,NEUTRAL
ảo tưởng là đây 😞,NEGATIVE
khi bạn bỗng nhiên nhận ra rằng có những bài hát phù hợp với từng khoảnh khắc riêng bên người đó :),POSITIVE
cũng sợ mấy con ngoe nguẩy như giòi 😰,NEGATIVE
rơi mất tim . nguy hiểm thiệt ^^,NEGATIVE
7 năm rồi . nhanh quá,POSITIVE
nhanh vãi mới thấy xong,NEUTRAL
có vậy ông mới có công chuyện làm mà kiếm tiền còn la lối chửi mắng có tội nghe con .,NEGATIVE
khiếp quá đi tụi con ơi,NEGATIVE
gu của tôi trời ơi . tiếc mới có chồng với đứa con thôi . huhu,NEGATIVE
"nhỏ thấy qua 1 lần , nó bị cột ngay trước cửa nhà người ta ở trong hẻm , mỗi lần đi ngang qua là nó lại định lao tới cà khịa",NEGATIVE
nhớ lúc trước tao cũng có học quyền và múa tứ linh đao bay thẳng vào trán . :),NEGATIVE
tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =)),POSITIVE
nghe nói 2020 hơn 4tr đàn ông sẽ ế vợ . mình chỉ việc chờ thêm 1 năm nữa thôi là đăng tin tuyển chồng 😂😂,POSITIVE
nhìn phiêu thật chắc nhẹ mất mấy cân một bên tai 😂😂😂,NEUTRAL
"con bé xinh nhờ , khốn nạn là cái thằng edit video ý :)))",POSITIVE
bác bảo vệ như lồn,NEGATIVE
"đồng nghiệp tốt , chị em tốt đi làm như đi chơi :)) chứ làm cùng với mấy con mlz đáng sợ lắm :))",NEGATIVE
buồn vì mình không giúp được gì cho ai . nhìn những người khác khổ hơn mình mà thấy thương họ,NEGATIVE
mấy cái video của bọn này đóng hay vãi,POSITIVE
ủa làm gì đánh tao muốn chết vậy đuỹ ?,NEGATIVE
lại khoe có người yêu - _ -,NEUTRAL
chủ tịch giả vờ cầm cây củi mục múa vỏ và cái kết !,POSITIVE
không ngờ tin nhắn riêng tư cũng phải kiêng nể nhắn tin để lỡ có bị chụp vẫn thấy chả sao,NEGATIVE
đánh cho lắm đéo thấm miếng nào khi main chỉ hất mông 1 phát bay mất tiêu :)),NEGATIVE
thả tao ra để tao cắn chết mẹ nó =)),NEGATIVE
cô ấy hết thương tao rồi,NEGATIVE
vừa đi về ?? mưa sấp mặt,NEGATIVE
quá đáng !,NEGATIVE
tiên sư bố mày vỡ màn hình tao rồu,NEGATIVE
mình trả phòng là chăn ga gấp gọn gàng . đồ đạc hẳn hoi trả người ta . dù sao mình cũng như người ta bẩn dọn mãi không sạch ai chẳng điên,POSITIVE
"đi chơi gặp 3 con mất dậy này vừa bị dí vừa bị cạp đít đau không chịu được sau phải nhảy lên cây để trốn , giờ gặp là sợ 😭😭",NEGATIVE
có ai như tao không . chả thích đi đền chùa vì nhiều lí do ??,NEUTRAL
"nhiều người nói con này giả ngu câu thích , nhưng xem lại nhiều lần thấy nó ngu thiệt chứ không phải giả bộ",NEGATIVE
dkm bọn này thất đức thật,NEGATIVE
hay qua hoc theo cho vui,POSITIVE
cô per vợ ông per - trung nguyên - có phải là cô giáo per huyền thoại không nhỉ ?,NEUTRAL
"cái này ở shop đồng giá 40k aeon có nè , tê tới dái luôn",POSITIVE
bắt trước chuyện tềnh trong thang máy cơ mà cái này kết có hậu :),NEUTRAL
để con mẹ mày tiếng bình thường nghe cho dễ . lại còn làm đéo đéo,NEGATIVE
"sau khi kết hôn , anh sẽ thuê người giết cô để hưởng trọn tiền bảo hiểm 😌",NEGATIVE
bây giờ lại chơi trò đánh tư sản mại bản như ngày xưa đi nhể,NEUTRAL
lạy ông nào nghĩ ra kịch này !!!,POSITIVE
mấy cái video của bọn này đóng hay vãi,POSITIVE
crush của tao cười hơi bị xinh :3 xinh + cười = đỗ mãi • 3 •,POSITIVE
thế đéo nào lại ra được nhỉ ??,POSITIVE
"thật là romantic , mà mà mà ... sao nghĩ tới cảnh động phòng hoa chúc tao thấy nhột nhột lỗ đít 😧😧",NEGATIVE
ơ thế sai chỗ mẹ nào nữa ??,POSITIVE
nghĩ cũng tội mà thôi cũng kệ,NEUTRAL
"ôiii vãi , dume nhìn thôi tao đã sợ rồi . từ nhện nhỏ đến nhện to không con nào là tao không sợ :((",NEGATIVE
loại gái già mất dạy chách sao không dạy được con cháu .,NEGATIVE
mẹ . trung thu là tết thiếu nhi . có phải mùa động dục đâu mà phải có người yêu nhỉ . vớ va vớ vẩn 😒,NEGATIVE
đau bụng vãi hix,NEGATIVE
đã sợ rồi .. cố gắng hí mắt để xa ra để coi như thế nào .. khúc cuối hết hồn dục luôn cái điện thoại :))),NEGATIVE
hú hồn,NEGATIVE
tao nghi chị xác chết với chị bác sĩ pháp y đó yêu nhau quá chúng mày :)),NEUTRAL
hmmmmmmm não tao xoắn mẹ rồi,NEUTRAL
"chờ mãi mà không thấy , cứ thấy trống vắng vãi :((",NEGATIVE
thanh niên trả thù đời bằng cách này hả ?,POSITIVE
2 câu giống nhau,NEUTRAL
thế giới này thật đáng sợ :3 trả đĩa bay cho tôi về đi :3,NEGATIVE
"đúng rồi còn quay quay , lớ nga lớ ngớ xuống trách người ta . có phải bãi xe tự phát đâu mà người ta dám làm láo .",NEGATIVE
bán không thu thuế luôn à,POSITIVE
bố đi đường mà sợ quá,NEGATIVE
trời trời ! như là nói lên nỗi lòng của thẩm phán vậy :)))),NEUTRAL
tao sẽ lấy hết tất cả các nick clone tao có phẫn nộ cái vid này 🙂,NEGATIVE
đẹp trai mà bị đá à =)),POSITIVE
khác xưa thật mà,NEUTRAL
giờ mới hiểu tại sao lúc đầu nhà hàng không cho đặt chỗ ..... má nó li hôn 3 lần rồi lần nào cũng phải giảm giá 30 % nó ly hôn thêm vài lần nữa chắc sập bà nó tiệm,POSITIVE
thật ư 😱😱😱,POSITIVE
"đấy gọi là biết ngu mà vẫn đâm đầu vào , giống tao :)",POSITIVE
chuẩn khi người ta gặp nạn không lo cứu đứng lấy dt ra quay rùi đăng kẻ đó mới là người cần lên án,NEGATIVE
cafe nguyên chất 🙂,NEUTRAL
thôi chết . thế thì tao đứt dây thần kinh gây cười rồi,NEUTRAL
gặp tao tao thuê giang hồ tới chém hết cả nhà nó luôn,NEGATIVE
hè về chỉ thích ăn cái này .,POSITIVE
t có 2 con bạn thân nó thì cao trọc trời còn tao thì ... . buồn,NEGATIVE
đồ phá hoại,NEGATIVE
thôi mày cố lên . đỡ rồi cũng tốt,POSITIVE
"như mình mà trèo lên là bị phóng điện luôn bạn nhỉ , mình cũng không hiểu được sao bọn nó không bị",POSITIVE
đấy có phải con người không nhỉ ? mà sao lại làm thế,POSITIVE
"bài nhạc đầu tiên là nhạc phim gì nhỉ ? mình quên tên phim rồi , xin hỏi có ai biết không ạ",NEUTRAL
per nhìn quen quen mày ơi,POSITIVE
per =)))))))))))) tao cười không biết chỗ nín lun,POSITIVE
từ ngày ra trường là chưa về,NEUTRAL
trẻ trâu việt nam thật đáng sợ,NEGATIVE
"thích hôn , thèm hôn ư ư ...",POSITIVE
giáo viên tiếng anh mà không biết tiếng anh ?,NEGATIVE
cho nó đi trồng lại 10 ha và chăm sóc cho tới khi cây lớn bằng núc chúng nó bơm chết,NEUTRAL
tao ngồi tao khóc 1 buổi ☹️,NEGATIVE
nếu diễn viên chính trẻ hơn đẹp hơn đang yêuc hơn thì mình sẽ xem haizz,NEUTRAL
"chỉ cần đủ quan trọng , họ sẽ làm tất cả những gì bạn thấy vui .",NEUTRAL
ghê thật,NEGATIVE
chơi mất dậy . gặp tao là tiễn theo điện thoại luôn,NEGATIVE
per không cho anh đi tập đâu nha mất bồ như chơi,NEGATIVE
per ngồi ôm bụng cười và liên tưởng đến nhiều nhân vật,POSITIVE
sao bắt nhanh thế sáng đọc báo có tin chôm ngân ngàng chiều đọc báo đã bắt được rồi,POSITIVE
hn đéo có đâu nhé . dăm ba cái thứ y đg vớ vẩn :)),NEGATIVE
đẹp không,NEUTRAL
thế nên thổ lộ trực tiếp vẫn hơn là tin nhắn .,NEUTRAL
"mút này mình xịt nước cho nó mềm ra , lấy chổi đùa đùa lại quét tới lúc nghỉ việc luôn quét cũng chưa xong nha , thứ nl",NEGATIVE
em này có cạo lông không ta sao nhìn lông ngăn quá,NEUTRAL
thế đéo nào ma không bị phóng điện nhỉ,POSITIVE
"tuổi thơ mình toàn đi đánh nhau với bọn con trai , có thằng ắt ơ nào chịu nhường nhịn con gái đâu",NEUTRAL
thanh niên trả thù đời bằng cách này hả ?,POSITIVE
h chỉ pk nhìn họ bên người khác :((,NEGATIVE
sởn gai ốc với chị ấy,NEGATIVE
t nói thật tao hiền lắm . chứ bà lồn to kia mà gặp tao là ăn mấy cái mũ bảo hiểm vào mặt rồi :),NEGATIVE
mai đi bán miếng năng lượng thôi 😂,NEUTRAL
"phải em thì dume nó chửi thé thì đéo cần nói nhiều nữa . gọi c . an xuống kéo mẹ nó xe đi , kiểu gì cũng mệt thôi bác .",NEGATIVE
"câu chốt .... "" chuyện cổ tích per "".... thôi tao quỳ ...",NEGATIVE
"sản phẩm tốt đấy , có tính ứng dụng cao",POSITIVE
per nhà mình cũng có nè,NEUTRAL
sao không xúm lại rỉa lông tụi đầu bếp nhỉ .,NEUTRAL
per bài của anh luôn nè,NEUTRAL
bụng công nhân thành hố chôn lợn dịch,NEGATIVE
diễn viên già vãi -.-,NEGATIVE
"hôm bữa đi ngang qua , thấy hết con mẹ nó hồn",NEGATIVE
"tháng 10 đến rồi , nghe bài này quá chuẩn",NEUTRAL
quan trọng vẫn là cái phải đẹp trai . rồi mới sau đó nữa ... lạ gì các bà,NEUTRAL
tao muốn con mèo thôi =)),POSITIVE
bé gái đáng yêu quá ??,POSITIVE
tao bị quỳ cột cờ mới ác . cả trường biết mặt luôn . nhục vãi,NEGATIVE
má con đĩ mèo nó đanh đá thế,NEGATIVE
do cái áo . mặc giống nhau làm đíuu gì,NEGATIVE
"hồi xưa , giờ yêu kiểu người lớn cơ mà",NEUTRAL
đúng . biết là sự thật tàn nhẫn nhưng vẫn muốn biết rõ cho nhẹ lòng hơn :(,NEGATIVE
per xinh nhỉ :)) ngày xưa cũng xem phim này mà không để ý có cả bả,POSITIVE
cái cuối phê vãi,POSITIVE
phát ngán .,NEGATIVE
per cái dume mày thấy tác hại của tập gym chưa,NEGATIVE
nói thật gia lai nói riêng tây nguyên nói chung xưa nhờ vàng đen '' hồ tiêu ' và vàng trắng ' cao su ' mà người dân có dư cái ăn cái mặt bây giờ thì thua rồi bỏ đi tứ xứ .. một thời,NEGATIVE
"đã từng nhưng 10 năm về trước cơ , buồn ghê",NEGATIVE
"á đù , per ạ , chị em mềnh vừa làm thế",POSITIVE
thiệt hả cái ???,POSITIVE
cưng chết,POSITIVE
buổi tối vui vẻ và ấm áp nhé đại kỷ nguyên ! tương tác cho hằng khỏi trôi bài nhé !,POSITIVE
"phí dịch vụ cao nhất , chuyển tiền nội mạng trừ phí tởm nhất , thái độ làm việc bố láo nhất , ít ưu đãi nhất ....",NEGATIVE
không hiểu sao nhìu người lại thả haha nhỉ ??,POSITIVE
per nguy hiểm quá mày ơi 😩😩,NEGATIVE
mấy góc cầu bị bể là thành quả của mấy đứa mập chân ngắn để lại à ....,NEUTRAL
ốm mà xinh thế :3,POSITIVE
"tao cũng nghĩ là vậy , chứ ở đó mà mừng rồi nuôi đẻ . bố mày không thích ăn sừng , phắng 🤣",NEGATIVE
"t thề mỗi lần dọn phòng sn này thì banh kem , pháo kim tuyến . đủ các thứ . khóc mà bụt nó đéo lên",NEGATIVE
cái này thì hôm nào nói chuyện tao nói cho nghe ??,NEUTRAL
không biết crush có thích uống nước mắm không để còn tặng nàng chai nam ngư 900ml :)),POSITIVE
t nhận ra mình đã sai,NEGATIVE
đmm cái quần ngàn thu,NEGATIVE
"bên đó cậu sao rồi , có hay cười nữa không ?",NEUTRAL
per trailer không có tiếng thôi mà đã thấy ghê rồi đó !,NEGATIVE
"mình thấy sợ mấy con rắn quá trời , mà cái gì mình sợ là mình hay muốn tiêu diệt -))",NEGATIVE
khá trẩu =))),NEGATIVE
cưng quá,POSITIVE
gần có tiền để mua,NEUTRAL
lâu quá rồi không nghe,NEUTRAL
"bếp lò xô nấu bằng dầu hôi đây mà ,!",NEUTRAL
"thiện tai , thế giới này khi nào mới được yên bình",NEGATIVE
"đm lũ chó bán thịt lợn sán cho các cháu lũ đấy phải tìm ra và xử tử hết . loz mẹ chúng mày vì lợi nhuận giết hết cả tương lai đất nước , dume lũ chó chết",NEGATIVE
"ở trên mái sảnh nhà tao cũng có một con nhện mẹ tao bảo tao giết nó ( hờ hờ ) , còn bố tao bảo "" mày cứ đi qua là nó rơi giữa đầu """,NEGATIVE
"per em ơi , tính ra nhớ đợt mình đi dạo trên cầu per mấy ông đó vứt xuống sông ít ra còn có não hơn mấy đứa vụ này",NEGATIVE
các bác cứ tích cực vào . em chả quan tâm,NEUTRAL
per hồi nhỏ chuyên gia đi ngang nhà hàng xóm là bị nguyên bầy ngỗng nó dí nó rượt chạy khóc la um xùm .. giờ còn ám ảnh 😭,NEGATIVE
thích cái đầm nào mua cho bận ngủ cho mát nè :))) per,NEUTRAL
dụ đấy ... đừng tin,NEGATIVE
"người ta dùng kiến lá , ông lại dùng kiến cứt thì thua ông rồi",NEGATIVE
giận con mẹ mày nữa chứ giận :),NEGATIVE
"đù . tròn ung ủng , chân tay ngẵn cũn như tao nhảy sao",NEGATIVE
eo hiểu người ta đỗ lòng đường vỉa hè thì rộng . chỉ lên nhắc người ta đỗ lùi xuống không ngã 3 thôi chứ đường của các bà đâu . có thế cũng đưa lên . ko ai bênh cái này đâu . ích kỉ nó vừa thôi,NEGATIVE
má toàn truyện trong mơ không hà mắc cười quá 😂,POSITIVE
"tại như vầy nên bố tao không cho đi cùng . cụ bảo có năm còn lăn cả xuống ruộng , trèo lên mái nhà của người ta để đi ??",NEGATIVE
per đừng hỏi tao nữa,NEUTRAL
"năm nào bố tao cũng đi , năm nào cũng về kể là đông quá cả tiếng mới nhích được 10m mà năm sau vẫn cứ đúng ngày bố tao lại đi vậy đó =))",POSITIVE
vl gần nhà,NEUTRAL
tới lúc chia tay rồi khóc :(,NEGATIVE
"và cô gái ăn cái bánh vài năm vẫn chưa xong ,",NEUTRAL
chuẩn lun,POSITIVE
trời . cưng chết được,POSITIVE
ôi vãi mình lên fan cứng rồi cơ 🤗,POSITIVE
kẻ ô điểm lời phê :((,NEGATIVE
nắng quá chứ bộ ai muốn,NEUTRAL
đứt quả chuối trong mồm . đéo dám nghĩ kết quả lun,NEGATIVE
muốn nhai luôn cả trái đất,NEGATIVE
ai sẽ cùng tôi mang nỗi đau này cơ chứ,NEGATIVE
bấy bề ơi . thật là đáng yêu,POSITIVE
tỏ tình đại ai dè dính lun :))),POSITIVE
"trời mới bắt đầu mưa , đéo lo thu thóc đi đứng đó quay ngang quay dọc",NEGATIVE
rất chi là chờ đợi 🙄,NEUTRAL
per được đi thi chưa babe 😂,POSITIVE
bán không thu thuế luôn à,POSITIVE
tôi là ai đây là đâu :v tôi đã làm gì sai :3,POSITIVE
con ước mình cũng có 1 tình yêu đẹp như ông bà vậy < 3,POSITIVE
đoạn phim này tốn khá nhiều nước mắt của người xem,NEGATIVE
cả tết được có 400k :(,NEGATIVE
5tr phạt làm cái lồng gì . phạt 500tr tội sỉ nhục lăng mạ người khác,NEGATIVE
anh đánh mất thật rồi,NEGATIVE
sợ vãi linh hồn,NEGATIVE
muộn rồi :))),NEGATIVE
tán mãi mới đổ muốn chia tay cũng phải từ từ,NEUTRAL
đồng nghiệp của tôi thật tuyệt vời,POSITIVE
dm . đồ dạo này lắm tạp chất hay s í nó đéo phê nhg mà vẫn bị ngáo,NEGATIVE
anh quay phim giọng hơi cute nhỉ 😂😂😂,POSITIVE
per phải nói là hiền quá hiền luônnn 🤣,POSITIVE
"hồi nhỏ đi học phải ngang qua nhà nuôi ngỗng nó dí chạy thấy bà luôn , ngày nào cũng phải cầm cái cây theo . thề luôn tới giờ tao vẫn còn sợ con này khiếp luôn 😭",NEGATIVE
thương quá . géc nhất những người nuôi chó mà không chăm ... tội cho kiếp em nó gặp phải 1 người chủ như vầy . thân thương !,NEGATIVE
động lực để phụ nữ chiến đấu chính là gia đình và bản thân họ :),NEUTRAL
dume cười vãi luôn trời :)))),POSITIVE
chắc ông này không có vợ :)),NEGATIVE
đái mẹ ra quần,NEGATIVE
7 năm rồi . nhanh quá,POSITIVE
"ay , đau thế , thằng chó !",NEGATIVE
nhìn hình vẽ khẩu trang lại tưởng 1 con mắt =)))))))),NEUTRAL
per cảm ơn tôi đi . thấy tầm quan trọng của máy chém gió chưa,POSITIVE
hơn cả bộ phim kinh dị !,NEGATIVE
ồ ra thế . tớ sẽ lưu ý :)) mong sẽ có cơ hội sờ nó . nhìn như cục bông í uwu,POSITIVE
"quán này chắc không đông , đang ăn mà thấy có mà ói",NEGATIVE
giọng nghe hay quá,POSITIVE
cmm lộ hết thông tin của người ta,NEGATIVE
lo tương lai bị bỏ rơi của chú đi :vậy,NEUTRAL
ông này chính xa ́ c làm biến nhất thế giới !!! để bộ móng tay như thế này sao làm được mọi viê ̣ c !,NEGATIVE
sao trận này ông này khóc nhỉ :)),POSITIVE
đứa nào nhây hơn đứa đấy thắng,NEUTRAL
immm,NEGATIVE
dm con già mà hành xử trâu chó . đời nó sẽ gặp báo ứng,NEGATIVE
đéo bít sợ là gì đến lúc chết lại đổ cho tại số,NEGATIVE
"yep . chính tao . đi vệ sinh thôi cũng phải đảo qua , mà giờ thì người ta sắp đi lấy chồng rồi",NEGATIVE
thằng hack game nó gặp trùm cuối rồi 😭😭 truyện đến đây là kết thúc sao 😭,NEGATIVE
không phải thích của cải mà là thích ý chí của họ . đàn ông có chí tiến thủ bao giờ cũng quyến rũ,POSITIVE
giống tao hồi bé ... 😅,POSITIVE
